Input,Pred,Pred_Latin,Gold
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ ประเพณีท้องถิ่น บทพูดไม่ควรเกิน 5 ตา,"""อ๋อ นี่แหละ ประเพณีท้องถิ่นของเรา นี่แหละที่ทำให้เรารู้สึกภาคภูมิใจในความเป็นไทยของเรา ประเพณีนี้มีมาแต่โบราณ มีมาแต่ไหนๆ แล้วก็ยังคงอยู่จนถึงทุกวันนี้ มันไม่เคยเปลี่ยนแปลง มันไม่เคยหายไปเลย

เรารู้สึกภาคภูมิใจในประเพณีนี้ เพราะมันแสดงให้เห็นถึงความเข้มแข็งและความอดทนของคนไทยเรา มันแสดงให้เห็นถึงความสามารถของเราในการรักษาความประเพณีและความวัฒนธรรมของเราไว้ได้ตลอดกาล""","""oo niaehla praephnithongthinkhongera niaehlathithamaiherarusuekphakhphumiaichainkhwamepnaithykhongera praephninimimaaetobran mimaaetaihn- aelwkyangkhngoyuchnthuengthukwanni manaimekhyepliynaeplng manaimekhyhayaipely

erarusuekphakhphumiaichainpraephnini ephraamanaesdngaihehnthuengkhwamekhmaekhngaelakhwamodthnkhongkhnaithyera manaesdngaihehnthuengkhwamsamarthkhongeraainkarraksakhwampraephniaelakhwamwathnthrrmkhongeraaiwaidtlodkal""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ อาชีพ บทพูดไม่ควรเกิน 5 ตา,"""เฮ้ย คุณหนู! คุณอยากรู้ว่าอาชีพอะไรที่ดีที่สุดในเมืองใต้? อะไรเหรอ? อาชีพขายของชำ! มีรายได้เยอะเลย และไม่ต้องทำงานหนักมาก แต่ไม่แน่ใจว่าทำไมคนใต้ถึงชอบอาชีพนี้เท่าไหร่""","""ehy khunhnu! khunoyakruwaoachiphoaairthidithisudainemueongait? oaairehro? oachiphkhaykhongcham! mirayaideyoaely aelaaimtongthamnganhnakmak aetaimaenaichwathamaimkhnaitthuengchoboachiphniethaaihr""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ การคมนาคม บทพูดไม่ควรเกิน 5 ตา,"""ขอโทษครับ/ค่ะ ผม/ดิฉันไม่เข้าใจว่าคุณหมายถึงอะไรครับ/ค่ะ แต่ถ้าคุณหมายถึงการคมนาคมในพื้นที่ใต้ ผม/ดิฉันจะบอกว่า การคมนาคมในพื้นที่ใต้ไม่ค่อยมีทางเลือกมากนักครับ/ค่ะ มีเพียงรถแท็กซี่และรถแท็กซี่มินิแบบรายบุคคลเท่านั้น แต่ถ้าคุณมีเวลามากๆ ก็สามารถใช้บริการรถแท็กซี่โดยสารสาธารณะได้ครับ/ค่ะ""","""khoothskhrab/kha phm/dichanaimekhaaichwakhunhmaythuengoaairkhrab/kha aetthakhunhmaythuengkarkhmnakhmainphuenthiait phm/dichanchabokwa karkhmnakhmainphuenthiaitaimkhoymithangelueokmaknakkhrab/kha miephiyngrthaethksiaelarthaethksiminiaebbraybukhkhlethanan aetthakhunmiewlamak- ksamarthaichbrikarrthaethksiodysarsatharnaaidkhrab/kha""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ ครอบครัว บทพูดไม่ควรเกิน 5 ตา,"""แม่ครับ แม่ครับ แม่ครับ แม่ครับ แม่ครับ""","""aemkhrab aemkhrab aemkhrab aemkhrab aemkhrab""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ กลับบ้านช่วงเทศกาล บทพูดไม่ควรเกิน 5 ตา,"""เฮ้ย คุณหนู! กลับบ้านแล้วเหรอ? เทศกาลนี้มีอะไรดีเลย! มีอาหารอร่อย มีดนตรีสนุก มีคนมาเยี่ยมเยือนกันเยอะเลย! คุณหนูกลับบ้านแล้ว มาเริ่มเตรียมตัวเตรียมใจให้พร้อมกันนะ! เราจะมีงานปาร์ตี้ใหญ่ๆ ที่บ้านเรา!""","""ehy khunhnu! klabbanaelwehro? ethskalnimioaairdiely! mioaharoroy midntrisnuk mikhnmaeyiymeyueonkaneyoaely! khunhnuklabbanaelw maerimetriymtawetriymaichaihphromkanna! erachaminganpartiaihy- thibanera!""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ การเมืองท้องถิ่น บทพูดไม่ควรเกิน 5 ตา,"""ขอโทษครับ/ค่ะ ผม/ดิฉันไม่เข้าใจว่าทำไมเราถึงต้องแบ่งแยกกันในหมู่บ้านของเราเอง เราต้องทำงานร่วมกันเพื่อแก้ปัญหาที่แท้จริงของเรา ไม่ใช่แบ่งแยกกันไปตามพรรคการเมืองหรือกลุ่มใดกลุ่มหนึ่ง""","""khoothskhrab/kha phm/dichanaimekhaaichwathamaimerathuengtongaebngaeykkanainhmubankhongeraeong eratongthamnganrwmkanephueoaekpayhathiaethchringkhongera aimaichaebngaeykkanaiptamphrrkhkaremueonghrueoklumaidklumhnueng""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ สภาพอากาศ บทพูดไม่ควรเกิน 5 ตา,"""อ่า, สภาพอากาศนี้มันแย่มากเลย! มีฝนตกหนักมากเลย และมีฝนฟ้าคะนองเลย น้ำท่วมที่นี่เลย! อาจจะไม่ปลอดภัยเลย""","""oa, sphaphoakasnimanaeymakely! mifntkhnakmakely aelamifnfakhanongely namthwmthiniely! oachchaaimplodphayely""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ อาหารท้องถิ่น บทพูดไม่ควรเกิน 5 ตา,"""ขอแนะนำอาหารท้องถิ่นของเราครับ/ค่ะ น้ำพริกกุ้งเผาเป็นอาหารที่มีชื่อเสียงของเรา มีกลิ่นหอมของพริกและรสชาติเผ็ดร้อนของกุ้ง นอกจากนี้ยังมีไข่เจียวที่ทำจากไข่ไก่และน้ำมันพืช มีรสชาติหอมและกรอบนอกนุ่มใน""","""khoaenanamoaharthongthinkhongerakhrab/kha namphrikkungephaepnoaharthimichueoesiyngkhongera miklinhomkhongphrikaelarschatiephdronkhongkung nokchakniyangmiaikhechiywthithamchakaikhaikaelanammanphuech mirschatihomaelakrobnoknumain""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ เครื่องแต่งกายท้องถิ่น บทพูดไม่ควรเกิน 5 ตา,"""อ๋อ คุณรู้ไหมว่าเครื่องแต่งกายท้องถิ่นของเราใต้ มีเอกลักษณ์เฉพาะตัวมากเลย คือเสื้อผ้าแบบเรียบง่าย แต่ดูหรูหรา มีสีสันสดใส และมีความหลากหลายมากเลย คุณเห็นไหมว่าคนใต้ใส่เสื้อผ้าแบบนี้ไปไหนมาไง แต่จริงๆ แล้วมันถูกออกแบบมาเพื่อให้เหมาะสมกับสภาพอากาศและวิถีชีวิตของเรา""","""oo khunruaihmwaekhrueongaetngkaythongthinkhongeraait mieoklaksnechphaatawmakely khueoesueophaaebberiybngay aetduhruhra misisansdais aelamikhwamhlakhlaymakely khunehnaihmwakhnaitaisesueophaaebbniaipaihnmaaing aetchring- aelwmanthukookaebbmaephueoaihehmaasmkabsphaphoakasaelawithichiwitkhongera""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ การศึกษาท้องถิ่น บทพูดไม่ควรเกิน 5 ตา,"""เราอยากจะเรียนรู้เกี่ยวกับวัฒนธรรมและประเพณีของเราเอง แต่หลายครั้งเราก็ไม่เคยได้เรียนรู้เกี่ยวกับเรื่องเหล่านี้เลย เพราะเราไม่ได้ได้รับการสอนในโรงเรียนเลย เราต้องการให้การศึกษาท้องถิ่นเป็นส่วนหนึ่งของการเรียนรู้ที่โรงเรียน เพื่อให้เราสามารถรู้จักและเข้าใจวัฒนธรรมของเราเองได้ดีขึ้น""","""eraoyakchaeriynruekiywkabwathnthrrmaelapraephnikhongeraeong aethlaykhrangerakaimekhyaideriynruekiywkaberueongehlaniely ephraaeraaimaidaidrabkarsonainorngeriynely eratongkaraihkarsueksathongthinepnswnhnuengkhongkareriynruthiorngeriyn ephueoaiherasamarthruchakaelaekhaaichwathnthrrmkhongeraeongaiddikhuen""",.
